title_clean,tmdb_movieId,movieLens_movieId
The expendables 3,138103,112897
Son of the mask,10214,31698
In the heart of the sea,205775,117466
Green zone,22972,74795
Gangs of new york,3131,5956
Surf's up,9408,53460
Black hawk down,855,5010
Sex and the city 2,37786,78174
Finding nemo,12,6377
Seventh son,68737,119655
Lara croft: tomb raider,1995,4367
Transcendence,157353,110730
Jurassic park iii,331,4638
Rise of the planet of the apes,61791,88744
The alamo,10733,7379
Cutthroat island,1408,15
Percy jackson & the olympians: the lightning thief,32657,74530
Toy story 2,863,3114
Rush hour 2,5175,4701
What lies beneath,2655,3798
Cloudy with a chance of meatballs,22794,71264
Ice age: dawn of the dinosaurs,8355,69644
Tropic thunder,7446,61132
Die hard: with a vengeance,1572,165
Atlantis: the lost empire,10865,4366
Alvin and the chipmunks: the road chip,258509,158428
Valkyrie,2253,64983
You don't mess with the zohan,10661,59900
A.i. artificial intelligence,644,4370
Hollow man,9383,3826
The interpreter,179,196397
Percy jackson: sea of monsters,76285,104074
Lara croft tomb raider: the cradle of life,1996,6564
Now you see me 2,291805,159093
The saint,10003,175505
Spy game,1535,4901
Mission to mars,2067,3354
Bicentennial man,2277,3156
K-19: the widowmaker,8665,5479
Cinderella man,921,33660
Seabiscuit,4464,6565
Cast away,8358,4022
Happy feet,9836,49274
Air force one,9772,1608
Ocean's eleven,161,4963
Hotel transylvania,76492,97225
Enchanted,4523,56152
102 dalmatians,10481,3991
Tower heist,59108,90717
Enemy of the state,9798,2353
It's complicated,22897,73015
Ocean's thirteen,298,53322
Divergent,157350,108190
Enemy at the gates,853,4223
Last action hero,9593,485
Memoirs of a geisha,1904,41571
Arthur christmas,51052,91414
Meet joe black,297,2340
Collateral damage,9884,5093
All that jazz,16858,2971
Scott pilgrim vs. the world,22538,79702
Nutty professor ii: the klumps,12107,3821
Scooby-doo,9637,5419
Dredd,49049,96737
Click,9339,45672
Creepshow,16281,3016
Jumper,8247,58025
Hellboy ii: the golden army,11253,57640
Bruce almighty,310,6373
Mission: impossible,954,648
The hunger games,70160,91500
Batman returns,364,1377
Over the hedge,7518,45431
Lilo & stitch,11544,5444
Deep impact,8656,1876
Red 2,146216,103810
Alvin and the chipmunks: chipwrecked,55301,91671
Grown ups 2,109418,104218
Get smart,11665,60126
Something's gotta give,6964,7149
Shutter island,11324,74458
Four christmases,12193,64032
Robots,9928,32031
Face/off,754,1573
Bedtime stories,10202,65088
Road to perdition,4147,5464
Just go with it,50546,85367
Con air,1701,1552
Eagle eye,13027,62081
Cold mountain,2289,7162
Flubber,9574,1702
The haunting,11618,208395
Space jam,2300,673
Six days seven nights,6068,1894
Yogi bear,41515,83177
Spirit: stallion of the cimarron,9023,5389
Zookeeper,38317,87867
Lost in space,2157,1831
Hotel transylvania 2,159824,142997
Fantasia 2000,49948,3159
Swordfish,9705,4344
What dreams may come,12159,2297
Little nicky,9678,3979
Mars attacks!,75,1391
The edge,9433,162214
Surrogates,19959,71530
Thirteen days,11973,4033
Walking with dinosaurs,77951,116213
Battlefield earth,5491,3593
Looney tunes: back in action,10715,6946
Nine,10197,73000
Timeline,9562,6959
Babe: pig in the city,9447,2384
The last witch hunter,274854,135532
Red planet,8870,3981
Arthur and the invisibles,9992,50162
Pompeii,76649,110968
The lion king,8587,203222
Journey 2: the mysterious island,72545,92681
Cloudy with a chance of meatballs 2,109451,105468
Red dragon,9533,5630
Hidalgo,2023,7324
Jack and jill,71880,90890
The secret life of pets,328111,135436
Despicable me 2,93456,103335
Children of men,9693,48774
X-men,36657,3793
50 first dates,1824,7293
Exorcist: the beginning,11026,8815
Inspector gadget,332,2720
Now you see me,75656,102903
Grown ups,38365,79134
Hotel for dogs,15189,66304
Vertical limit,11678,3999
Charlie wilson's war,6538,56788
Shark tale,10555,8907
Dreamgirls,1125,49824
Be cool,4551,32019
Munich,612,41997
Tears of the sun,9567,6213
The man from u.n.c.l.e.,203801,138036
Spanglish,2539,27808
Monster house,9297,46948
First knight,6520,168
Anna and the king,1439,3155
Immortals,37958,90888
Titan a.e.,7450,3745
Hollywood homicide,11375,6484
Carriers,25769,73168
Monkeybone,23685,4158
Flight of the phoenix,11866,27837
Unbreakable,9741,3994
Minions,211672,135887
Snake eyes,8688,2126
Sphere,10153,1779
The angry birds movie,153518,157340
Fool's gold,8676,57951
Funny people,20829,66509
Talladega nights: the ballad of ricky bobby,9718,46970
Dr. dolittle 2,10808,4368
Braveheart,197,110
Jarhead,25,40278
Doctor dolittle,3050,2135
Shrek 2,809,8360
Cars,920,45517
Runaway bride,4806,2724
Xxx,7451,5507
Ransom,3595,832
Inglourious basterds,16869,68157
Hook,879,3489
Die hard 2,1573,1370
S.w.a.t.,9257,6595
Vanilla sky,1903,4975
Lady in the water,9697,45730
Avp: alien vs. predator,395,8810
Alvin and the chipmunks: the squeakquel,23398,73042
We were soldiers,10590,5152
Olympus has fallen,117263,101362
Star trek: insurrection,200,2393
Battle: los angeles,44943,85131
Big fish,587,7147
War horse,57212,91126
Wall street: money never sleeps,33909,80590
Dracula untold,49017,114795
Seven years in tibet,978,1619
Doom,8814,37380
I spy,8427,5803
Underworld: awakening,52520,91974
Rock of ages,80585,95307
Hart's war,10592,5107
Killer elite,49021,89840
Ballistic: ecks vs. sever,10550,5609
Hard rain,11258,1752
Osmosis jones,12610,4719
Legends of oz: dorothy's return,59981,111439
Blackhat,201088,120637
Sky captain and the world of tomorrow,5137,8865
Basic instinct 2,3093,44759
Escape plan,107846,105653
Despicable me,20352,79091
Money train,11517,20
Ted 2,214756,135861
Agora,26428,74624
Mystery men,9824,2723
Hall pass,48988,85022
The finest hours,300673,151777
Body of lies,12113,62374
Dinner for schmucks,38778,79428
Abraham lincoln: vampire hunter,72331,95207
Entrapment,1844,2605
Saving private ryan,857,2028
Need for speed,136797,109850
What women want,3981,4018
Ice age,425,5218
Lincoln,72976,98154
Apollo 13,568,150
You've got mail,9489,2424
Step brothers,12133,60756
Due date,41733,81537
Unbroken,227306,118702
Space cowboys,5551,3827
Cliffhanger,9350,434
World trade center,1852,46974
Mona lisa smile,11820,7154
Eyes wide shut,345,2712
This means war,59962,93326
Blade: trinity,36648,8985
Primary colors,9440,1810
Resident evil: retribution,71679,96691
Death race,10483,61248
Proof of life,11983,3998
Fight club,550,2959
We are marshall,11170,49793
Hudson hawk,9292,7000
Lucky numbers,10783,3975
"I, frankenstein",100241,108689
Elektra,9947,31221
Sin city: a dame to kill for,189,113573
Random hearts,12618,2906
Perfume: the story of a murderer,1427,48997
Austin powers in goldmember,818,5481
Astro boy,16577,72209
Jurassic park,329,480
Wyatt earp,12160,383
Clear and present danger,9331,349
Dragon blade,300168,134775
U-571,3536,3555
3000 miles to graceland,12138,4159
The hateful eight,273248,128360
Blades of glory,9955,52245
300,1271,51662
Meet the fockers,693,30825
Marley & me,14306,65230
Wild hogs,11199,51575
Gone girl,210577,112556
Daddy day care,10708,6338
2 guns,136400,103883
Cats & dogs,10992,4386
Two weeks notice,2642,5957
Antz,8916,2294
Couples retreat,19899,71668
Days of thunder,2119,1100
Cheaper by the dozen 2,9641,42009
Eat pray love,38167,80551
Any given sunday,9563,3173
Collateral,1538,8798
The scorpion king,9334,5313
Ladder 49,11128,8908
Jack reacher,75780,99112
Deep blue sea,8914,2722
Contagion,39538,89470
Kangaroo jack,10628,6013
Coraline,14836,66097
The happening,8645,133757
Starsky & hutch,9384,7325
Jingle all the way,9279,1359
Paranorman,77174,96281
Paycheck,9620,7163
Under siege 2: dark territory,3512,204
Jack ryan: shadow recruit,137094,108188
London has fallen,267860,152079
Alien: resurrection,8078,1690
Shooter,7485,51935
Practical magic,6435,2316
The lego movie,137106,108932
Miss congeniality 2: armed and fabulous,10040,32296
Reign of fire,6278,5463
Gangster squad,82682,99728
Year one,17610,69436
Invictus,22954,72733
State of play,16995,68159
Duplicity,16558,67193
My favorite martian,9849,2498
The sentinel,5820,181531
Planet 51,16866,72701
Star trek: nemesis,201,5944
Intolerable cruelty,11775,6873
Trouble with the curve,87825,96693
Analyze that,9932,5900
Righteous kill,13389,61697
Mercury rising,8838,1833
Almost famous,786,3897
Garfield: a tail of two kitties,9513,46337
Xxx: state of the union,11679,33158
Sinbad: legend of the seven seas,14411,6536
Event horizon,8413,1590
Flyboys,9664,48319
Winter's tale,137321,109191
Meet dave,11260,60516
Dark water,9009,34143
Edtv,11374,2567
Inkheart,2309,65685
Mortdecai,210860,125914
In the name of the king: a dungeon siege tale,2312,57326
Beyond borders,9839,6886
The great raid,13922,34536
Deadpool,293660,122904
Holy man,9713,2306
American sniper,190859,114662
Goosebumps,257445,144620
Just like heaven,9007,36525
Rambo iii,1370,2404
Leatherheads,4942,58839
The ridiculous 6,347969,148652
Did you hear about the morgans?,24438,72919
Resident evil: afterlife,35791,80363
Red tails,72431,92234
The devil's advocate,1813,1645
That's my boy,87428,96616
Dragonheart,8840,653
After the sunset,10589,8968
Ghost rider: spirit of vengeance,71676,92938
Captain corelli's mandolin,1722,4727
Forrest gump,13,356
Alvin and the chipmunks,6477,56176
Meet the parents,1597,3948
Pocahontas,10530,48
Hitch,8488,31685
George of the jungle,10603,1588
Captain phillips,109424,105504
Date night,35056,76293
Casper,8839,158
Maid in manhattan,7303,5943
Crimson tide,8963,161
Flightplan,9315,37727
Disclosure,8984,225
City of angels,795,1835
Kill bill: vol. 1,24,6874
Bowfinger,11353,2770
Kill bill: vol. 2,393,7438
Tango & cash,9618,4673
Death becomes her,9374,3258
Shanghai noon,8584,3624
Executive decision,2320,494
Mr. popper's penguins,58224,87483
Free birds,175574,106240
Evita,8818,1416
Ronin,8195,2278
Paddington,116149,117887
The hunted,10632,194877
Stuck on you,1792,7150
Semi-pro,13260,58156
Changeling,3580,63062
Chain reaction,12123,836
Elizabeth: the golden age,4517,55274
Gods and generals,16072,6186
Imagine that,19724,69304
Muppets most wanted,145220,110297
Thunderbirds,14623,8782
Burlesque,42297,83086
Blade ii,36586,5254
Seven pounds,11321,64716
Bullet to the head,70074,91483
Elizabethtown,9621,39231
"You, me and dupree",1819,45726
Superman ii,8536,2641
Gigli,8046,6587
Domestic disturbance,11456,4885
Black mass,261023,136018
Flags of our fathers,3683,48783
Law abiding citizen,22803,71838
Grindhouse,285923,52281
Beloved,39437,2314
Lucky you,1950,52724
Zero dark thirty,97630,98961
Mamma mia!,11631,60397
Valentine's day,32856,74450
The thin red line,8741,166237
Man on the moon,1850,3174
Casino,524,16
From paris with love,26389,74851
Bulletproof monk,11817,6294
"Me, myself & irene",2123,3752
Shrek,808,4306
Robin hood: prince of thieves,8367,1027
Jerry maguire,9390,1393
Ted,72105,95441
As good as it gets,2898,1784
Patch adams,10312,2431
Anchorman 2: the legend continues,109443,107348
Mr. deeds,2022,5449
Super 8,37686,87306
Erin brockovich,462,3408
How to lose a guy in 10 days,9919,6155
22 jump street,187017,112138
Yes man,10201,64969
Central intelligence,302699,160271
Stepmom,9441,2432
Daddy's home,274167,149352
Inside man,388,44199
Congo,10329,160
We bought a zoo,74465,91653
Knowing,13811,67197
Failure to launch,6877,44004
"Crazy, stupid, love.",50646,88163
Christmas with the kranks,13673,8978
Moneyball,60308,89492
Outbreak,6950,292
Race to witch mountain,13836,70305
V for vendetta,752,44191
Shanghai knights,6038,6156
Curious george,9975,43869
Don't say a word,12103,4814
Hansel & gretel: witch hunters,60304,100163
Unfaithful,2251,5364
I am number four,46529,85056
Syriana,231,40583
The book of life,228326,115664
Firewall,9754,43871
Absolute power,66,1459
G.i. jane,4421,1586
The game,2649,166735
Silent hill,588,45081
Beverly hills cop iii,306,420
Gremlins 2: the new batch,928,2004
Resident evil: apocalypse,1577,8861
Bridget jones: the edge of reason,9801,8969
On deadly ground,9624,7725
Raising helen,4599,8362
Ninja assassin,22832,72489
For love of the game,10390,2861
Striptease,9879,762
Marmaduke,38579,77665
Hereafter,44603,81512
Murder by numbers,11892,5312
Assassins,9691,23
Hannibal rising,1248,50804
Basic,10782,6263
Blood work,9573,5506
Escape from l.a.,10061,849
Free state of jones,316152,157338
Run all night,241554,129937
Eastern promises,2252,55118
Into the blue,11968,37853
Your highness,38319,87529
Mad city,9770,1667
Baby's day out,11212,5096
Jade,11863,132
Death to smoochy,9275,5265
Zoolander 2,329833,148888
The big bounce,12634,178563
What planet are you from?,10416,3326
Drive angry,47327,84942
Street fighter: the legend of chun-li,15268,66639
Indiana jones and the last crusade,89,1291
Chappie,198184,120466
Panic room,4547,5266
The tooth fairy,53953,122817
Three kings,6415,2890
Child 44,181283,130956
K-pax,167,4874
Kate & leopold,11232,4992
Taken 3,260346,120635
Dick tracy,8592,2616
Riding in cars with boys,11091,4867
Solaris,593,5881
Happily n'ever after,5393,50149
Mary reilly,9095,92
My best friend's wedding,8874,1569
America's sweethearts,11467,4639
Star trek: first contact,199,1356
Jonah hex,20533,78467
Courage under fire,10684,647
Liar liar,1624,1485
The infiltrator,325789,161127
Inchon,113464,147887
Taken 2,82675,96861
Scary movie 3,4256,6888
Miss congeniality,1493,4025
The client,10731,144504
Patriot games,9869,3256
Monster-in-law,4379,33499
Prisoners,146233,104879
Training day,2034,4776
Galaxy quest,926,3175
Scary movie 2,4248,4388
Coach carter,7214,31225
Changing lanes,1537,5293
Anaconda,9360,1499
Coyote ugly,6282,3825
Love actually,508,6942
From hell,768,4865
Tin cup,10478,852
Kicking & screaming,9981,33495
Fat albert,15045,30883
Resident evil: extinction,7737,55232
Blended,232672,111617
Cellular,9759,8860
Johnny english,9486,6550
Dune,841,2021
Across the universe,4688,54190
Revolutionary road,4148,65130
16 blocks,2207,43936
Babylon a.d.,9381,61350
Multiplicity,9304,719
Aliens in the attic,20856,70282
All the pretty horses,21355,4031
Nixon,10858,14
Deep rising,9457,1762
Miracle at st. anna,12412,61991
Love in the time of cholera,6639,56001
Shadow conspiracy,38153,1055
Johnny english reborn,58233,90522
Foodfight!,116977,120222
The bounty hunter,27573,125179
Sleepers,819,1061
Rambo: first blood part ii,1369,2402
Heaven's gate,10935,5184
Underworld: evolution,834,42738
Victor frankenstein,228066,141004
Finding forrester,711,4019
28 days,10468,3534
Unleashed,10027,177193
The firm,37233,183913
Charlie st. cloud,37950,79588
21 jump street,64688,93510
Notting hill,509,2671
Chicken run,7443,3751
Along came polly,5966,7173
The heat,136795,172679
Here comes the boom,87826,97836
High crimes,11560,5282
Licence to kill,709,2990
15 minutes,2749,4167
Super mario bros.,9607,546
Lord of war,1830,36529
One for the money,54054,92264
8 mile,65,5810
Why i did (not) eat my father,280391,189747
The sixth sense,745,197499
Man on a ledge,49527,91978
American hustle,168672,106916
The proposal,18240,194508
Back to the future part ii,165,2011
Fifty shades of grey,216015,125916
Spy kids 3-d: game over,12279,6566
Lone survivor,193756,107069
The conjuring 2,259693,159858
He's just not that into you,10184,66203
Scary movie 4,4257,44972
Scream 3,4234,3273
Back to the future part iii,196,2012
Get hard,257091,131013
Julie & julia,24803,70293
42,109410,101895
Dumb and dumber to,100042,116977
Eight below,9036,43917
The intern,257211,140110
Ride along 2,323675,151315
The last of the mohicans,9361,167876
Ray,1677,8958
Sin city,187,32587
Vantage point,7461,58103
"I love you, man",16538,67087
Shallow hal,9889,4890
Jfk,820,3386
Big momma's house 2,11565,43558
17 again,16996,68135
Bridge of spies,296098,143385
Get him to the greek,32823,78209
Shall we dance?,4380,8916
Small soldiers,11551,1920
Spawn,10336,1591
Horrible bosses 2,227159,117590
Escape from planet earth,68179,100611
Apocalypto,1579,48304
Predators,34851,79057
Legal eagles,9930,6308
Secret window,1586,7347
Made of honor,10761,59333
Jersey boys,209451,112316
Gothika,4970,6952
Amistad,11831,1693
Medicine man,9096,2822
Autumn in new york,10641,3824
Music and lyrics,11172,51084
Paul,39513,84772
Scream 4,41446,86295
8mm,8224,2505
Sex tape,225886,112788
Hanging up,10385,3299
Final destination 5,55779,88932
Mickey blue eyes,10154,2805
Pay it forward,10647,3969
Drillbit taylor,8457,58655
A million ways to die in the west,188161,111743
Get rich or die tryin',10060,40574
Rent,1833,40826
Bless the child,10391,3857
Mean streets,203,8042
Renaissance man,11858,516
Colombiana,62835,89087
Quest for camelot,18937,1881
City by the sea,13536,5563
At first sight,15556,2445
Torque,10718,7175
City hall,11062,100
Showgirls,10802,193
Ishtar,12704,4123
Fantastic mr. fox,10315,72226
Life or something like it,16643,5324
Memoirs of an invisible man,2687,6734
New york minute,11025,7453
Big miracle,78698,92335
Cirque du freak: the vampire's assistant,24418,72165
Duplex,7288,6763
Soul men,14655,63481
Raise the titanic,24575,3403
Universal soldier: the return,10366,2807
Pandorum,19898,71135
Impostor,4965,5046
Extreme ops,15074,5880
Just visiting,56715,4240
Delgo,20542,64652
Disturbia,8271,52458
Hackers,10428,170
Snowpiercer,110415,107406
Baahubali: the beginning,256040,139575
Because i said so,1257,50802
Against the ropes,8842,7315
Superman iii,9531,2642
Grudge match,64807,107702
Sweet home alabama,11529,5620
Sgt. bilko,9099,637
Spy kids 2: the island of lost dreams,9488,5504
Star trek: generations,193,329
Water for elephants,55787,86548
Dragon nest: warriors' dawn,257932,140699
Enough,1957,5387
Paul blart: mall cop 2,256961,132157
Angel eyes,5852,4305
Joe somebody,12312,4991
Extreme measures,11306,1003
Rock star,12508,4757
Precious,25793,72395
White squall,10534,86
Riddick,87421,104243
Switchback,10871,1661
Texas rangers,13503,4962
City of ember,13600,62376
The master,68722,135739
Virgin territory,14324,59116
The 5th wave,299687,148172
Creed,312221,146656
What to expect when you're expecting,76494,95199
Burn after reading,4944,61323
Nim's island,10488,58972
Magnolia,334,3160
Cop out,23742,74532
How to be single,259694,148956
Dolphin tale,62837,91886
John q,8470,5108
Blue streak,11001,2860
We're the millers,138832,104211
The inhabited island,16911,69809
Never say never again,36670,7573
Hot tub time machine,23048,76077
Dolphin tale 2,227735,117194
Reindeer games,2155,3316
Aloha,222936,134528
Ghosts of mississippi,31908,1401
Snow falling on cedars,10219,3185
The rite,48171,142721
Gattaca,782,1653
Space chimps,11802,60649
Head of state,9776,6265
Ip man 3,365222,152591
Austin powers: the spy who shagged me,817,2683
There be dragons,45054,94965
Lethal weapon 3,943,2002
Spy kids,10054,4232
Horrible bosses,51540,87869
Star trek: the motion picture,152,1371
Identity thief,109431,100390
21,8065,58803
Trainwreck,271718,134393
Guess who,11638,32298
L.a. confidential,2118,1617
In & out,10806,1614
Species,9348,196
The man in the iron mask,9313,136822
Secretariat,39486,80839
Radio,13920,6887
Friends with benefits,50544,88405
Neighbors 2: sorority rising,325133,156609
Saving mr. banks,140823,107141
This is 40,89492,99117
Old dogs,22949,72696
Underworld: rise of the lycans,12437,65682
License to wed,2959,53974
Must love dogs,11648,34336
Donnie brasco,9366,1466
Resident evil,1576,5219
Max payne,13051,62394
In time,49530,90405
Something borrowed,49022,86817
Black knight,11469,4899
Street fighter,11667,393
Closer,2288,8981
J. edgar,88794,90719
Mirrors,13515,61262
Queen of the damned,11979,5128
Predator 2,169,3697
Untraceable,8090,57526
Blast from the past,11622,2496
Alex cross,94348,97742
Midnight in the garden of good and evil,8197,1711
Hoffa,10410,6997
Ella enchanted,14442,7380
Valiant,14175,36397
Wonder boys,11004,3317
Superhero movie,11918,59014
Broken city,98357,99957
Premium rush,49526,96417
Parker,119283,100108
Wimbledon,11823,8866
Furry vengeance,35169,77820
Krull,849,4275
Lions for lambs,4515,55946
Flight of the intruder,18886,6518
Walk hard: the dewey cox story,6575,56805
American outlaws,13496,4721
Whiteout,22787,71573
Knock off,37498,2196
Punisher: war zone,13056,64231
The walk,285783,138208
Warriors of virtue,49478,1525
Radio flyer,20763,7030
Smilla's sense of snow,9311,1480
Femme fatale,9280,5809
Lion of the desert,26843,5196
Ride with the devil,22267,3117
Biutiful,45958,81819
Bandidas,1969,43419
Black water transit,310706,189921
The fountain,1381,120380
Chill factor,2162,2835
Stolen,127493,98054
The longest ride,228205,132424
I dreamed of africa,21311,3579
Playing for keeps,77875,99087
Mandela: long walk to freedom,192136,106839
Reds,18254,2929
Exit wounds,10877,4224
Big momma's house,9600,3646
Step up revolution,85446,98373
Snakes on a plane,326,46965
The watcher,10685,176819
Pushing tin,12596,2598
Doomsday,13460,58297
The reader,8055,141904
Elf,10719,6936
Phenomenon,9294,802
Snow dogs,11888,5048
Scrooged,9647,3087
Nacho libre,9353,45666
Bridesmaids,55721,86833
This is the end,109414,102123
Stigmata,10307,2840
Men of honor,11978,3980
Takers,22907,87785
The big wedding,87567,103055
"Big mommas: like father, like son",38322,85399
Source code,45612,85414
1941,11519,7104
Dreamer: inspired by a true story,12920,39307
Transporter 2,9335,36519
Laws of attraction,11141,7450
Bringing out the dead,8649,2976
Repo men,31867,75985
Bogus,3587,885
Cats don't dance,24662,1489
Cradle will rock,32274,3145
George and the dragon,5494,110229
Apocalypse now,28,1208
Mr. holland's opus,2054,62
Out of africa,606,1959
Flight,87502,97923
Moonraker,698,3638
Hearts in atlantis,11313,4815
Arachnophobia,6488,2699
Frequency,10559,3510
Get shorty,8012,21
Big daddy,9032,2694
American pie 2,2770,4718
Toy story,862,1
Speed,1637,377
Extraordinary measures,27569,74131
Remember the titans,10637,3916
The butler,132363,193847
Dodgeball: a true underdog story,9472,8528
The addams family,2907,207189
Ace ventura: when nature calls,9273,19
District 9,17654,70286
Mystic river,322,6870
Analyze this,9535,2539
27 dresses,6557,56949
Hannah montana: the movie,18126,70334
Rugrats in paris: the movie,16340,3990
Legends of the fall,4476,266
Up in the air,22947,72011
About schmidt,2755,5945
Warm bodies,82654,99007
Looper,59967,96610
Babe,9598,34
Forgetting sarah marshall,9870,58998
Four brothers,8292,34534
Baby mama,8780,59258
Hope floats,9715,1888
Bride wars,10521,65585
Without a paddle,10762,8814
13 going on 30,10096,7444
